".rownames","Playoffs.fctr","Playoffs.fctr.predict.Max.cor.Y.glm.prob","Playoffs.fctr.predict.Max.cor.Y.glm","Playoffs.fctr.predict.Max.cor.Y.glm.accurate"
"1","Y",0.898745799406356,"Y",TRUE
"10","Y",0.932182560258548,"Y",TRUE
"11","Y",0.999644699142238,"Y",TRUE
"12","Y",0.928987958194193,"Y",TRUE
"13","Y",0.999651226459823,"Y",TRUE
"14","Y",0.999996859539328,"Y",TRUE
"15","Y",0.348658070260738,"Y",TRUE
"16","N",0.0197989650413114,"N",TRUE
"17","N",0.0031151520481493,"N",TRUE
"18","Y",0.999105775516165,"Y",TRUE
"19","Y",0.999937663883693,"Y",TRUE
"2","Y",0.990384427137991,"Y",TRUE
"20","N",0.000101017668925724,"N",TRUE
"21","N",0.0763484483987974,"N",TRUE
"22","N",0.00118916534614055,"N",TRUE
"23","N",0.0494959337602486,"N",TRUE
"24","N",0.00512143847007716,"N",TRUE
"25","Y",0.999839609069786,"Y",TRUE
"26","N",0.0793214814945386,"N",TRUE
"27","N",0.857371860358957,"Y",FALSE
"28","N",0.00696100668539056,"N",TRUE
"3","N",0.000186216594010696,"N",TRUE
"4","Y",0.937381696140459,"Y",TRUE
"5","N",0.000785504434487039,"N",TRUE
"6","N",0.671348694791549,"Y",FALSE
"7","Y",0.99976083275361,"Y",TRUE
"8","N",0.0078171332218176,"N",TRUE
"9","Y",0.970003788338887,"Y",TRUE
