".rownames","Playoffs.fctr","Playoffs.fctr.predict.W.only.glm.prob","Playoffs.fctr.predict.W.only.glm","Playoffs.fctr.predict.W.only.glm.accurate"
"1","Y",0.903129619255715,"Y",TRUE
"10","Y",0.938437683241136,"Y",TRUE
"11","Y",0.999661590786014,"Y",TRUE
"12","Y",0.937494979403721,"Y",TRUE
"13","Y",0.999674793950207,"Y",TRUE
"14","Y",0.99999690532227,"Y",TRUE
"15","Y",0.411558489887882,"N",FALSE
"16","N",0.0200077228803732,"N",TRUE
"17","N",0.00299508019989624,"N",TRUE
"18","Y",0.999106489255337,"Y",TRUE
"19","Y",0.999955709360889,"Y",TRUE
"2","Y",0.988910885636881,"Y",TRUE
"20","N",0.000122776230798621,"N",TRUE
"21","N",0.0764873696938319,"N",TRUE
"22","N",0.00126248831927145,"N",TRUE
"23","N",0.0542029198009429,"N",TRUE
"24","N",0.00540433934237894,"N",TRUE
"25","Y",0.999832152631696,"Y",TRUE
"26","N",0.0652014350352056,"N",TRUE
"27","N",0.874354315893004,"N",TRUE
"28","N",0.00951088493259003,"N",TRUE
"3","N",0.000193608933472929,"N",TRUE
"4","Y",0.942447736318112,"Y",TRUE
"5","N",0.000766419445997683,"N",TRUE
"6","N",0.729002353554002,"N",TRUE
"7","Y",0.999805732193265,"Y",TRUE
"8","N",0.00693126128617745,"N",TRUE
"9","Y",0.975151627129379,"Y",TRUE
